"","date","time","observers","count","year","route_num","hab_hm","hab_p","hab_o","hab_b","hab_other","vehicles","common_name","spec_code","sci_name","tax_order","lat","lon","route","source","obs_id","sub_id","distance","all_obs","breed_code","species_comment","weather","notes","others"
"81",1999-05-23,"5:30 EDT","Barb Brooks",1,1999,"2",NA,NA,NA,NA,NA,NA,"Brown-headed Cowbird","BHCO","Molothrus ater",31516,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1999-05-23,"5:30 EDT","Barb Brooks",5,1999,"2",NA,NA,NA,NA,NA,NA,"American Goldfinch","AMGO","Spinus tristis",30347,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",8,1999,"3",NA,NA,NA,NA,NA,NA,"Canada Goose","CAGO","Branta canadensis",296,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",1,1999,"3",NA,NA,NA,NA,NA,NA,"Northern Bobwhite","NOBO","Colinus virginianus",900,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",39,1999,"3",NA,NA,NA,NA,NA,NA,"Mourning Dove","MODO","Zenaida macroura",2323,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",5,1999,"3",NA,NA,NA,NA,NA,NA,"Chimney Swift","CHSW","Chaetura pelagica",3741,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",6,1999,"3",NA,NA,NA,NA,NA,NA,"Red-bellied Woodpecker","RBWO","Melanerpes carolinus",10555,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",1,1999,"3",NA,NA,NA,NA,NA,NA,"Downy Woodpecker","DOWO","Dryobates pubescens",10740,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",1,1999,"3",NA,NA,NA,NA,NA,NA,"Hairy Woodpecker","HAWO","Dryobates villosus",10766,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",3,1999,"3",NA,NA,NA,NA,NA,NA,"Eastern Wood-Pewee","EAWP","Contopus virens",15624,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",2,1999,"3",NA,NA,NA,NA,NA,NA,"Great Crested Flycatcher","GCFL","Myiarchus crinitus",16036,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1999-06-06,"5:30 EDT","Kate Finlayson, Karen Piplani",1,1999,"3",NA,NA,NA,NA,NA,NA,"White-eyed Vireo","WEVI","Vireo griseus",19139,36.11949,-79.17658,"Route 03, Harmony Church Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
